排名,时间,上影线绝对值,开盘,收盘,最高,最低,下一根收盘
1,2025-07-21 08:00,0.004300,0.27393,0.27312,0.27823,0.27282,0.27441
2,2025-07-21 08:10,0.003450,0.27441,0.27215,0.27786,0.27189,0.26918
3,2025-07-18 21:30,0.003270,0.24816,0.24931,0.25258,0.24794,0.25098
4,2025-07-21 23:30,0.002710,0.2801,0.28069,0.2834,0.28001,0.27919
5,2025-07-22 00:20,0.002540,0.27954,0.27961,0.28215,0.27754,0.28099
6,2025-07-21 00:05,0.002510,0.26188,0.26316,0.26567,0.26041,0.26314
7,2025-07-21 08:30,0.002470,0.27014,0.26907,0.27261,0.26871,0.26832
8,2025-07-21 03:00,0.002450,0.27277,0.27198,0.27522,0.27181,0.27694
9,2025-07-18 09:15,0.002380,0.2297,0.2296,0.23208,0.22812,0.23089
10,2025-07-21 02:45,0.002260,0.26458,0.26958,0.27184,0.26449,0.27203
